INFO 2024-11-28 02:37:38,819 models Late employee: 97.0
INFO 2024-11-28 02:41:28,001 models Late employee: 101.0
INFO 2024-11-28 03:17:32,977 consumers New WebSocket connection: admin
INFO 2024-11-28 03:17:32,986 consumers WebSocket connection closed: admin
INFO 2024-11-28 03:17:32,987 consumers New WebSocket connection: admin
INFO 2024-11-28 03:17:35,364 consumers WebSocket connection closed: admin
INFO 2024-11-28 03:17:35,612 consumers New WebSocket connection: admin
INFO 2024-11-28 03:17:35,621 consumers WebSocket connection closed: admin
INFO 2024-11-28 03:17:35,623 consumers New WebSocket connection: admin
INFO 2024-11-28 03:17:51,323 consumers New WebSocket connection: 
INFO 2024-11-28 03:17:51,325 consumers WebSocket connection closed: 
INFO 2024-11-28 03:17:51,347 consumers New WebSocket connection: 
INFO 2024-11-28 03:17:51,351 consumers WebSocket connection closed: 
INFO 2024-11-28 03:17:56,387 consumers New WebSocket connection: 
INFO 2024-11-28 03:17:56,389 consumers WebSocket connection closed: 
INFO 2024-11-28 03:17:56,422 consumers New WebSocket connection: 
INFO 2024-11-28 03:17:56,424 consumers WebSocket connection closed: 
INFO 2024-11-28 03:18:06,368 consumers New WebSocket connection: 
INFO 2024-11-28 03:18:06,370 consumers WebSocket connection closed: 
ERROR 2024-11-28 03:18:06,384 views AttendanceRecord does not exist
INFO 2024-11-28 03:18:06,388 consumers New WebSocket connection: 
INFO 2024-11-28 03:18:06,392 consumers WebSocket connection closed: 
ERROR 2024-11-28 03:18:06,411 views AttendanceRecord does not exist
INFO 2024-11-28 03:18:11,249 models Late employee: 138.0
INFO 2024-11-28 03:18:15,706 consumers New WebSocket connection: 
INFO 2024-11-28 03:18:15,707 consumers WebSocket connection closed: 
INFO 2024-11-28 03:18:15,728 consumers New WebSocket connection: 
INFO 2024-11-28 03:18:15,731 consumers WebSocket connection closed: 
INFO 2024-11-28 03:26:45,494 consumers New WebSocket connection: 
INFO 2024-11-28 03:26:45,498 consumers WebSocket connection closed: 
INFO 2024-11-28 03:26:45,499 consumers New WebSocket connection: 
INFO 2024-11-28 03:26:45,503 consumers WebSocket connection closed: 
INFO 2024-11-28 03:26:45,550 views AttendanceRecord does not exist
INFO 2024-11-28 03:26:45,566 views AttendanceRecord does not exist
INFO 2024-11-28 03:26:52,900 models Late employee: 146.0
INFO 2024-11-28 03:27:53,763 consumers New WebSocket connection: admin
INFO 2024-11-28 03:27:53,766 consumers New WebSocket connection: admin
INFO 2024-11-28 03:27:53,767 consumers WebSocket connection closed: admin
INFO 2024-11-28 03:28:22,356 consumers New WebSocket connection: 
INFO 2024-11-28 03:28:22,358 consumers WebSocket connection closed: 
